257.36,238.246,246.194,228.296,210.767,357.129,186.086,359.9,201.571,355.932,349.675,349.856,342.898,330.459,322.317,326.854,332.042,329.306,327.515,335.749,337.238,344.029,313.781,319.838,329.288,334.827,333.974,329.527,325.714,323.966,322.125,319.993,187.322,
259.431,253.158,256.985,241.658,220.346,183.549,181.291,356.815,195.566,350.733,353.561,354.322,354.256,353.255,352.958,353.243,332.456,335.024,330.88,323.267,327.139,315.91,227.226,342.891,332.115,339.646,337.343,336.918,336.397,329.882,338.685,332.902,328.461,
274.703,254.948,257.561,256.256,242.282,203.34,198.798,219.018,189.072,184.343,358.894,358.21,184.28,183.799,188.924,191.602,196.108,208.347,358.548,333.516,315.29,290.93,229.431,191.021,349.766,349.169,352.152,351.912,346.946,346.196,341.559,345.263,195.934,
275.496,259.631,263.154,256.591,254.252,230.229,214.883,207.572,197.963,192.467,182.632,184.914,183.845,189.504,191.705,193.233,205.832,217.457,227.902,204.275,241.899,238.568,241.389,215.752,182.475,358.375,352.563,352.924,351.761,350.421,348.709,339.002,339.813,
275.684,267.583,275.924,268.353,268.612,225.593,230.047,204.931,188.308,183.319,184.479,183.639,181.969,187.619,185.357,193.107,207.94,223.693,240.452,266.442,305.034,331.06,336.732,196.295,187.067,358.423,357.29,354.343,355.205,357.525,353.004,351.458,347.028,
275.563,274.687,276.335,289.743,281.611,234.736,218.627,193.967,181.658,180.542,181.198,359.95,359.236,184.826,188.433,195.006,207.531,225.697,234.645,259.386,280.904,299.257,309.403,318.801,327.251,356.729,354.75,353.821,354.848,355.341,356.373,354.908,196.745,
281.285,281.876,295.736,293.464,272.412,241.978,205.443,199.337,187.498,357.5,359.949,354.11,356.586,359.933,183.036,192.381,201.028,214.802,234.884,246.575,279.327,302.118,309.557,315.909,328.05,338.852,354.228,351.903,355.142,353.864,351.388,354.461,348.127,
297.779,308.201,291.792,262.608,233.547,224.819,199.522,195.949,186.983,181.431,355.325,353.997,355.416,355.024,358.644,187.542,202.905,195.957,207.39,244.258,297.482,321.495,335.797,333.375,334.491,330.994,334.762,351.284,349.715,350.905,346.65,346.139,339.034,
335.504,306.174,290.922,240.759,227.444,198.028,196.251,189.268,186.017,359.943,354.841,355.556,359.015,185.496,181.204,359.875,182.197,351.371,347.827,359.442,348.963,349.285,356.524,348.142,343.89,340.187,337.142,345.351,347.241,349.106,348.302,343.237,343.024,
350.597,333.337,213.055,223.185,198.831,189.751,188.266,190.73,180.737,356.635,351.043,352.202,182.001,184.563,192.822,193.486,185.748,355.117,311.403,291.838,212.301,194.328,192.548,189.608,180.083,356.993,348.177,343.942,346.319,348.467,349.361,348.074,343.128,
357.29,208.376,323.368,200.728,188.971,187.678,183.248,359.127,357.346,351.355,344.893,347.886,354.348,359.892,342.304,344.05,348.959,329.182,336.126,252.673,209.861,203.436,202.721,200.053,195.94,191.607,183.489,353.695,351.388,348.574,346.398,346.737,342.406,
